Crime Type,Loss Amount,State/Territory,Year
Confidence Fraud/Romance,"$44,632,796",California,2018
Corporate Data Breach,"$11,512,717",California,2018
Credit Card Fraud,"$9,737,494",California,2018
Crimes Against Children,"$247,032",California,2018
Criminal Forums,"$7,478",California,2018
Denial of Service/TDos,"$4,429,941",California,2018
Employment,"$1,008,949",California,2018
Extortion,"$16,105",California,2018
Gambling,"$3,276,305",California,2018
Government Impersonation,$0,California,2018
Hacktivist,"$637,071",California,2018
Harassment/Threats of Violence,"$1,215,894",California,2018
Health Care Related,"$758,287",California,2018
IPR/Copyright and Counterfeit,"$9,105,375",California,2018
Identity Theft,"$38,192,346",California,2018
Investment,"$3,818,887",California,2018
Lottery/Sweepstakes/Inheritance,"$35,732",California,2018
Malware/Scareware/Virus,"$960,407",California,2018
Misrepresentation,$0,California,2018
No Lead Value,"$18,266,248",California,2018
Non-payment/Non-Delivery,"$2,300,320",California,2018
Other,"$4,946,650",California,2018
Overpayment,"$12,780,450",California,2018
Personal Data Breach,"$1,064,673",California,2018
Phishing/Vishing/Smishing/Pharming,$146,California,2018
Ransomware,"$71,164",California,2018
Re-shipping,"$10,620,224",California,2018
Real Estate/Rental,"$3,938,008",California,2018
Spoofing,"$3,258,451",California,2018
Tech Support,$200,California,2018
Social Media,"$11,351,986",California,2018
Virtual Currency,"$9,157,341",California,2018
Advanced Fee,"$2,029,368",Colorado,2018
BEC/EAC,"$1,845,256",Colorado,2018
Charity,$200,Colorado,2018
Civil Matter,"$151,128",Colorado,2018
Confidence Fraud/Romance,"$2,924,257",Colorado,2018
Corporate Data Breach,"$208,476",Colorado,2018
Credit Card Fraud,"$196,774",Colorado,2018
Crimes Against Children,$0,Colorado,2018
Criminal Forums,$0,Colorado,2018
Denial of Service/TDos,"$237,838",Colorado,2018
Employment,"$45,804",Colorado,2018
Extortion,$300,Colorado,2018
Gambling,"$252,196",Colorado,2018
Government Impersonation,$0,Colorado,2018
Hacktivist,"$171,853",Colorado,2018
Harassment/Threats of Violence,$0,Colorado,2018
Health Care Related,"$61,270",Colorado,2018
IPR/Copyright and Counterfeit,"$115,568",Colorado,2018
Identity Theft,"$664,202",Colorado,2018
Investment,"$111,740",Colorado,2018
Lottery/Sweepstakes/Inheritance,$419,Colorado,2018
Malware/Scareware/Virus,"$292,090",Colorado,2018
Misrepresentation,$0,Colorado,2018
No Lead Value,"$2,200,079",Colorado,2018
Non-payment/Non-Delivery,"$711,811",Colorado,2018
Other,"$254,850",Colorado,2018
Overpayment,"$173,304",Colorado,2018
Personal Data Breach,"$64,793",Colorado,2018
Phishing/Vishing/Smishing/Pharming,$0,Colorado,2018
Ransomware,"$2,783",Colorado,2018
Re-shipping,"$7,017,798",Colorado,2018
Real Estate/Rental,"$344,343",Colorado,2018
Spoofing,"$193,197",Colorado,2018
Tech Support,$0,Colorado,2018
Social Media,"$539,626",Colorado,2018
Virtual Currency,"$623,285",Colorado,2018
Advanced Fee,"$94,327",Connecticut,2018
BEC/EAC,"$1,035,252",Connecticut,2018
Charity,$0,Connecticut,2018
Civil Matter,$30,Connecticut,2018
Confidence Fraud/Romance,"$3,080,221",Connecticut,2018
Corporate Data Breach,"$52,213",Connecticut,2018
Credit Card Fraud,"$1,081,462",Connecticut,2018
Crimes Against Children,$0,Connecticut,2018
Criminal Forums,$0,Connecticut,2018
Denial of Service/TDos,"$64,061",Connecticut,2018
Employment,"$1,241,990",Connecticut,2018
Extortion,$0,Connecticut,2018
Gambling,"$313,750",Connecticut,2018
Government Impersonation,$0,Connecticut,2018
Hacktivist,"$8,010",Connecticut,2018
Harassment/Threats of Violence,$0,Connecticut,2018
Health Care Related,"$10,030",Connecticut,2018
IPR/Copyright and Counterfeit,"$1,178,695",Connecticut,2018
Identity Theft,"$133,197",Connecticut,2018
Investment,"$376,572",Connecticut,2018
Lottery/Sweepstakes/Inheritance,$800,Connecticut,2018
Malware/Scareware/Virus,"$108,597",Connecticut,2018
Misrepresentation,$0,Connecticut,2018
No Lead Value,"$1,387,142",Connecticut,2018
Non-payment/Non-Delivery,"$65,820",Connecticut,2018
Other,"$70,477",Connecticut,2018
Overpayment,"$193,569",Connecticut,2018
Personal Data Breach,"$13,567",Connecticut,2018
Phishing/Vishing/Smishing/Pharming,$0,Connecticut,2018
Ransomware,$0,Connecticut,2018
Re-shipping,"$84,926",Connecticut,2018
Real Estate/Rental,"$1,148,157",Connecticut,2018
Spoofing,"$247,921",Connecticut,2018
Tech Support,$343,Connecticut,2018
Social Media,"$213,640",Connecticut,2018
Virtual Currency,"$176,450",Connecticut,2018
Advanced Fee,"$291,438",Delaware,2018
BEC/EAC,"$42,186",Delaware,2018
Charity,$0,Delaware,2018
Civil Matter,"$2,025",Delaware,2018
Confidence Fraud/Romance,"$1,636,174",Delaware,2018
Corporate Data Breach,$0,Delaware,2018
Credit Card Fraud,"$283,972",Delaware,2018
Crimes Against Children,$0,Delaware,2018
Criminal Forums,$0,Delaware,2018
Denial of Service/TDos,"$20,269",Delaware,2018
Employment,"$1,253",Delaware,2018
Extortion,$0,Delaware,2018
Gambling,"$18,213",Delaware,2018
Government Impersonation,$0,Delaware,2018
Hacktivist,"$1,857",Delaware,2018
Harassment/Threats of Violence,"$1,845",Delaware,2018
Health Care Related,$758,Delaware,2018
IPR/Copyright and Counterfeit,"$29,375",Delaware,2018
Identity Theft,"$642,457",Delaware,2018
Investment,"$4,600",Delaware,2018
Lottery/Sweepstakes/Inheritance,$106,Delaware,2018
Malware/Scareware/Virus,"$80,369",Delaware,2018
Misrepresentation,$0,Delaware,2018
No Lead Value,"$359,218",Delaware,2018
Non-payment/Non-Delivery,"$2,832",Delaware,2018
Other,"$8,297",Delaware,2018
Overpayment,"$75,960",Delaware,2018
Personal Data Breach,"$4,605",Delaware,2018
Phishing/Vishing/Smishing/Pharming,"$36,722",Delaware,2018
Ransomware,"$6,284",Delaware,2018
Re-shipping,"$80,742",Delaware,2018
Real Estate/Rental,"$20,826",Delaware,2018
Spoofing,"$41,284",Delaware,2018
Tech Support,$0,Delaware,2018
Social Media,"$22,007",Delaware,2018
Virtual Currency,"$296,189",Delaware,2018
Advanced Fee,"$1,427,271",District of Columbia,2018
BEC/EAC,"$538,458",District of Columbia,2018
Charity,$200,District of Columbia,2018
Civil Matter,$0,District of Columbia,2018
Confidence Fraud/Romance,"$653,140",District of Columbia,2018
Corporate Data Breach,$0,District of Columbia,2018
Credit Card Fraud,"$246,259",District of Columbia,2018
Crimes Against Children,$0,District of Columbia,2018
Criminal Forums,$0,District of Columbia,2018
Denial of Service/TDos,"$43,646",District of Columbia,2018
Employment,"$1,976,100",District of Columbia,2018
Extortion,$0,District of Columbia,2018
Gambling,"$2,904,458",District of Columbia,2018
Government Impersonation,$0,District of Columbia,2018
Hacktivist,"$614,614",District of Columbia,2018
Harassment/Threats of Violence,$0,District of Columbia,2018
Health Care Related,"$129,005",District of Columbia,2018
IPR/Copyright and Counterfeit,"$6,400",District of Columbia,2018
Identity Theft,"$349,659",District of Columbia,2018
Investment,"$179,753",District of Columbia,2018
Lottery/Sweepstakes/Inheritance,$250,District of Columbia,2018
Malware/Scareware/Virus,"$7,083",District of Columbia,2018
Misrepresentation,$0,District of Columbia,2018
No Lead Value,"$953,643",District of Columbia,2018
Non-payment/Non-Delivery,$1,District of Columbia,2018
Other,"$40,949",District of Columbia,2018
Overpayment,"$16,236",District of Columbia,2018
Personal Data Breach,"$108,163",District of Columbia,2018
Phishing/Vishing/Smishing/Pharming,$0,District of Columbia,2018
Ransomware,$6,District of Columbia,2018
Re-shipping,"$282,504",District of Columbia,2018
Real Estate/Rental,"$77,109",District of Columbia,2018
Spoofing,"$115,250",District of Columbia,2018
Tech Support,$0,District of Columbia,2018
Social Media,"$987,207",District of Columbia,2018
Virtual Currency,"$10,440",District of Columbia,2018
Advanced Fee,"$3,494,933",Florida,2018
BEC/EAC,"$26,595,765",Florida,2018
Charity,"$313,609",Florida,2018
Civil Matter,"$151,153",Florida,2018
Confidence Fraud/Romance,"$20,047,057",Florida,2018
Corporate Data Breach,"$2,276,704",Florida,2018
Credit Card Fraud,"$8,579,403",Florida,2018
Crimes Against Children,$80,Florida,2018
Criminal Forums,"$2,021",Florida,2018
Denial of Service/TDos,"$1,058,807",Florida,2018
Employment,"$1,371,866",Florida,2018
Extortion,"$5,825",Florida,2018
Gambling,"$860,203",Florida,2018
Government Impersonation,$0,Florida,2018
Hacktivist,"$865,855",Florida,2018
Harassment/Threats of Violence,"$160,150",Florida,2018
Health Care Related,"$50,456",Florida,2018
IPR/Copyright and Counterfeit,"$1,523,356",Florida,2018
Identity Theft,"$12,328,918",Florida,2018
Investment,"$2,625,215",Florida,2018
Lottery/Sweepstakes/Inheritance,"$7,162",Florida,2018
Malware/Scareware/Virus,"$4,549,472",Florida,2018
Misrepresentation,$0,Florida,2018
No Lead Value,"$12,039,760",Florida,2018
Non-payment/Non-Delivery,"$983,336",Florida,2018
Other,"$1,598,235",Florida,2018
Overpayment,"$6,308,766",Florida,2018
Personal Data Breach,"$426,431",Florida,2018
Phishing/Vishing/Smishing/Pharming,"$7,769",Florida,2018
Ransomware,"$14,693",Florida,2018
Re-shipping,"$8,036,055",Florida,2018
Real Estate/Rental,"$2,824,076",Florida,2018
Spoofing,"$1,096,183",Florida,2018
Tech Support,$0,Florida,2018
Social Media,"$5,212,372",Florida,2018
Virtual Currency,"$4,334,411",Florida,2018
Advanced Fee,"$6,397,998",Georgia,2018
BEC/EAC,"$14,327,580",Georgia,2018
Charity,"$160,921",Georgia,2018
Civil Matter,"$6,272,032",Georgia,2018
Confidence Fraud/Romance,"$7,159,332",Georgia,2018
Corporate Data Breach,"$665,713",Georgia,2018
Credit Card Fraud,"$1,763,192",Georgia,2018
Crimes Against Children,$0,Georgia,2018
Criminal Forums,"$89,000",Georgia,2018
Denial of Service/TDos,"$618,543",Georgia,2018
Employment,"$81,417",Georgia,2018
Extortion,"$7,100",Georgia,2018
Gambling,"$1,404,211",Georgia,2018
Government Impersonation,$0,Georgia,2018
Hacktivist,"$463,154",Georgia,2018
Harassment/Threats of Violence,$521,Georgia,2018
Health Care Related,"$148,755",Georgia,2018
IPR/Copyright and Counterfeit,"$7,665,469",Georgia,2018
Identity Theft,"$1,875,069",Georgia,2018
Investment,"$2,464,598",Georgia,2018
Lottery/Sweepstakes/Inheritance,"$89,359",Georgia,2018
Malware/Scareware/Virus,"$232,900",Georgia,2018
Misrepresentation,$0,Georgia,2018
No Lead Value,"$4,807,566",Georgia,2018
Non-payment/Non-Delivery,"$1,774,374",Georgia,2018
Other,"$862,313",Georgia,2018
Overpayment,"$4,231,044",Georgia,2018
Personal Data Breach,"$1,041,837",Georgia,2018
Phishing/Vishing/Smishing/Pharming,$0,Georgia,2018
Ransomware,$300,Georgia,2018
Re-shipping,"$6,914,105",Georgia,2018
Real Estate/Rental,"$662,632",Georgia,2018
Spoofing,"$229,422",Georgia,2018
Tech Support,$0,Georgia,2018
Social Media,"$2,355,236",Georgia,2018
Virtual Currency,"$892,580",Georgia,2018
Advanced Fee,$0,Guam,2018
BEC/EAC,$0,Guam,2018
Charity,$0,Guam,2018
Civil Matter,$0,Guam,2018
Confidence Fraud/Romance,$0,Guam,2018
Corporate Data Breach,$0,Guam,2018
Credit Card Fraud,"$6,664",Guam,2018
Crimes Against Children,$0,Guam,2018
Criminal Forums,$0,Guam,2018
Denial of Service/TDos,$0,Guam,2018
Employment,$0,Guam,2018
Extortion,$0,Guam,2018
Gambling,$0,Guam,2018
Government Impersonation,$0,Guam,2018
Hacktivist,$0,Guam,2018
Harassment/Threats of Violence,$0,Guam,2018
Health Care Related,$0,Guam,2018
IPR/Copyright and Counterfeit,$0,Guam,2018
Identity Theft,$0,Guam,2018
Investment,$0,Guam,2018
Lottery/Sweepstakes/Inheritance,$0,Guam,2018
Malware/Scareware/Virus,$0,Guam,2018
Misrepresentation,$0,Guam,2018
No Lead Value,$0,Guam,2018
Non-payment/Non-Delivery,$0,Guam,2018
Other,"$3,950",Guam,2018
Overpayment,$0,Guam,2018
Personal Data Breach,$0,Guam,2018
Phishing/Vishing/Smishing/Pharming,$0,Guam,2018
Ransomware,$0,Guam,2018
Re-shipping,$0,Guam,2018
Real Estate/Rental,$0,Guam,2018
Spoofing,$0,Guam,2018
Tech Support,$0,Guam,2018
Social Media,$0,Guam,2018
Virtual Currency,$0,Guam,2018
Advanced Fee,"$35,328",Hawaii,2018
BEC/EAC,"$47,393",Hawaii,2018
Charity,$0,Hawaii,2018
Civil Matter,$0,Hawaii,2018
Confidence Fraud/Romance,"$1,596,301",Hawaii,2018
Corporate Data Breach,$0,Hawaii,2018
Credit Card Fraud,"$24,727",Hawaii,2018
Crimes Against Children,$0,Hawaii,2018
Criminal Forums,$0,Hawaii,2018
Denial of Service/TDos,"$15,198",Hawaii,2018
Employment,"$244,448",Hawaii,2018
Extortion,$0,Hawaii,2018
Gambling,"$50,850",Hawaii,2018
Government Impersonation,$0,Hawaii,2018
Hacktivist,"$186,088",Hawaii,2018
Harassment/Threats of Violence,$0,Hawaii,2018
Health Care Related,"$56,711",Hawaii,2018
IPR/Copyright and Counterfeit,"$10,047",Hawaii,2018
Identity Theft,"$2,629,631",Hawaii,2018
Investment,"$21,130",Hawaii,2018
Lottery/Sweepstakes/Inheritance,$0,Hawaii,2018
Malware/Scareware/Virus,"$195,897",Hawaii,2018
Misrepresentation,$0,Hawaii,2018
No Lead Value,"$264,476",Hawaii,2018
Non-payment/Non-Delivery,"$4,147",Hawaii,2018
Other,"$34,866",Hawaii,2018
Overpayment,"$5,113",Hawaii,2018
Personal Data Breach,"$1,588",Hawaii,2018
Phishing/Vishing/Smishing/Pharming,$0,Hawaii,2018
Ransomware,$0,Hawaii,2018
Re-shipping,"$450,659",Hawaii,2018
Real Estate/Rental,"$5,475",Hawaii,2018
Spoofing,"$4,785",Hawaii,2018
Tech Support,$0,Hawaii,2018
Social Media,"$385,623",Hawaii,2018
Virtual Currency,"$604,511",Hawaii,2018
Advanced Fee,"$111,393",Idaho,2018
BEC/EAC,"$1,020,114",Idaho,2018
Charity,$0,Idaho,2018
Civil Matter,$160,Idaho,2018
Confidence Fraud/Romance,"$1,090,767",Idaho,2018
Corporate Data Breach,"$54,000",Idaho,2018
Credit Card Fraud,"$3,008",Idaho,2018
Crimes Against Children,$0,Idaho,2018
Criminal Forums,$0,Idaho,2018
Denial of Service/TDos,"$15,806",Idaho,2018
Employment,"$5,596",Idaho,2018
Extortion,$0,Idaho,2018
Gambling,"$2,503",Idaho,2018
Government Impersonation,$0,Idaho,2018
Hacktivist,"$3,650",Idaho,2018
Harassment/Threats of Violence,$476,Idaho,2018
Health Care Related,$500,Idaho,2018
IPR/Copyright and Counterfeit,"$35,558",Idaho,2018
Identity Theft,"$5,000",Idaho,2018
Investment,"$7,900",Idaho,2018
Lottery/Sweepstakes/Inheritance,$670,Idaho,2018
Malware/Scareware/Virus,"$8,929",Idaho,2018
Misrepresentation,$0,Idaho,2018
No Lead Value,"$816,368",Idaho,2018
Non-payment/Non-Delivery,"$2,950",Idaho,2018
Other,"$23,806",Idaho,2018
Overpayment,"$5,126",Idaho,2018
Personal Data Breach,"$2,000",Idaho,2018
Phishing/Vishing/Smishing/Pharming,$170,Idaho,2018
Ransomware,$0,Idaho,2018
Re-shipping,"$153,453",Idaho,2018
Real Estate/Rental,"$59,730",Idaho,2018
Spoofing,"$40,573",Idaho,2018
Tech Support,$0,Idaho,2018
Social Media,"$85,818",Idaho,2018
Virtual Currency,"$2,076",Idaho,2018
Advanced Fee,"$1,067,894",Illinois,2018
BEC/EAC,"$10,267,050",Illinois,2018
Charity,$0,Illinois,2018
Civil Matter,"$47,972",Illinois,2018
Confidence Fraud/Romance,"$4,627,887",Illinois,2018
Corporate Data Breach,"$73,621",Illinois,2018
Credit Card Fraud,"$1,134,269",Illinois,2018
Crimes Against Children,$0,Illinois,2018
Criminal Forums,"$8,000",Illinois,2018
Denial of Service/TDos,"$546,762",Illinois,2018
Employment,"$875,841",Illinois,2018
Extortion,$0,Illinois,2018
Gambling,"$727,987",Illinois,2018
Government Impersonation,$0,Illinois,2018
Hacktivist,"$655,708",Illinois,2018
Harassment/Threats of Violence,"$14,040",Illinois,2018
Health Care Related,"$102,417",Illinois,2018
IPR/Copyright and Counterfeit,"$691,694",Illinois,2018
Identity Theft,"$554,544",Illinois,2018
Investment,"$350,123",Illinois,2018
Lottery/Sweepstakes/Inheritance,"$4,742",Illinois,2018
Malware/Scareware/Virus,"$313,848",Illinois,2018
Misrepresentation,$0,Illinois,2018
No Lead Value,"$2,798,974",Illinois,2018
Non-payment/Non-Delivery,"$169,829",Illinois,2018
Other,"$909,538",Illinois,2018
Overpayment,"$644,505",Illinois,2018
Personal Data Breach,"$322,263",Illinois,2018
Phishing/Vishing/Smishing/Pharming,"$4,300",Illinois,2018
Ransomware,$0,Illinois,2018
Re-shipping,"$1,308,622",Illinois,2018
Real Estate/Rental,"$325,159",Illinois,2018
Spoofing,"$246,472",Illinois,2018
Tech Support,$0,Illinois,2018
Social Media,"$1,749,359",Illinois,2018
Virtual Currency,"$463,080",Illinois,2018
Advanced Fee,"$426,050",Indiana,2018
BEC/EAC,"$3,308,634",Indiana,2018
Charity,$20,Indiana,2018
Civil Matter,$301,Indiana,2018
Confidence Fraud/Romance,"$3,401,248",Indiana,2018
Corporate Data Breach,"$322,309",Indiana,2018
Credit Card Fraud,"$299,670",Indiana,2018
Crimes Against Children,$0,Indiana,2018
Criminal Forums,$0,Indiana,2018
Denial of Service/TDos,"$134,704",Indiana,2018
Employment,"$54,520",Indiana,2018
Extortion,$0,Indiana,2018
Gambling,"$33,545",Indiana,2018
Government Impersonation,$0,Indiana,2018
Hacktivist,"$9,230",Indiana,2018
Harassment/Threats of Violence,$0,Indiana,2018
Health Care Related,"$8,268",Indiana,2018
IPR/Copyright and Counterfeit,"$340,384",Indiana,2018
Identity Theft,"$11,920",Indiana,2018
Investment,"$192,879",Indiana,2018
Lottery/Sweepstakes/Inheritance,"$46,206",Indiana,2018
Malware/Scareware/Virus,"$26,089",Indiana,2018
Misrepresentation,$0,Indiana,2018
No Lead Value,"$612,575",Indiana,2018
Non-payment/Non-Delivery,"$241,850",Indiana,2018
Other,"$402,832",Indiana,2018
Overpayment,"$238,542",Indiana,2018
Personal Data Breach,"$140,891",Indiana,2018
Phishing/Vishing/Smishing/Pharming,$0,Indiana,2018
Ransomware,$0,Indiana,2018
Re-shipping,"$709,359",Indiana,2018
Real Estate/Rental,"$1,769,119",Indiana,2018
Spoofing,"$148,406",Indiana,2018
Tech Support,$0,Indiana,2018
Social Media,"$194,808",Indiana,2018
Virtual Currency,"$34,920",Indiana,2018
Advanced Fee,"$134,732",Iowa,2018
BEC/EAC,"$1,639,382",Iowa,2018
Charity,$0,Iowa,2018
Civil Matter,"$49,100",Iowa,2018
Confidence Fraud/Romance,"$655,539",Iowa,2018
Corporate Data Breach,$0,Iowa,2018
Credit Card Fraud,"$26,774",Iowa,2018
Crimes Against Children,$0,Iowa,2018
Criminal Forums,$0,Iowa,2018
Denial of Service/TDos,"$6,770",Iowa,2018
Employment,"$3,054",Iowa,2018
Extortion,$0,Iowa,2018
Gambling,"$34,280",Iowa,2018
Government Impersonation,$0,Iowa,2018
Hacktivist,$753,Iowa,2018
Harassment/Threats of Violence,$0,Iowa,2018
Health Care Related,$0,Iowa,2018
IPR/Copyright and Counterfeit,"$12,943",Iowa,2018
Identity Theft,"$30,565",Iowa,2018
Investment,$0,Iowa,2018
Lottery/Sweepstakes/Inheritance,$0,Iowa,2018
Malware/Scareware/Virus,"$77,126",Iowa,2018
Misrepresentation,$0,Iowa,2018
No Lead Value,"$1,530,347",Iowa,2018
Non-payment/Non-Delivery,"$1,611",Iowa,2018
Other,"$20,339",Iowa,2018
Overpayment,"$5,475",Iowa,2018
Personal Data Breach,"$24,280",Iowa,2018
Phishing/Vishing/Smishing/Pharming,$0,Iowa,2018
Ransomware,$0,Iowa,2018
Re-shipping,"$116,975",Iowa,2018
Real Estate/Rental,"$122,660",Iowa,2018
Spoofing,"$6,210",Iowa,2018
Tech Support,$0,Iowa,2018
Social Media,"$89,225",Iowa,2018
Virtual Currency,$126,Iowa,2018
Advanced Fee,"$59,063",Kansas,2018
BEC/EAC,"$144,878",Kansas,2018
Charity,$0,Kansas,2018
Civil Matter,"$4,275",Kansas,2018
Confidence Fraud/Romance,"$754,721",Kansas,2018
Corporate Data Breach,$0,Kansas,2018
Credit Card Fraud,"$127,858",Kansas,2018
Crimes Against Children,$0,Kansas,2018
Criminal Forums,$0,Kansas,2018
Denial of Service/TDos,"$33,956",Kansas,2018
Employment,"$3,490",Kansas,2018
Extortion,$0,Kansas,2018
Gambling,"$3,950",Kansas,2018
Government Impersonation,$0,Kansas,2018
Hacktivist,"$1,940",Kansas,2018
Harassment/Threats of Violence,$0,Kansas,2018
Health Care Related,$0,Kansas,2018
IPR/Copyright and Counterfeit,"$8,134",Kansas,2018
Identity Theft,"$13,500",Kansas,2018
Investment,"$15,126",Kansas,2018
Lottery/Sweepstakes/Inheritance,$0,Kansas,2018
Malware/Scareware/Virus,"$60,517",Kansas,2018
Misrepresentation,$0,Kansas,2018
No Lead Value,"$1,335,415",Kansas,2018
Non-payment/Non-Delivery,"$4,061",Kansas,2018
Other,"$31,208",Kansas,2018
Overpayment,"$66,008",Kansas,2018
Personal Data Breach,"$107,568",Kansas,2018
Phishing/Vishing/Smishing/Pharming,$0,Kansas,2018
Ransomware,$0,Kansas,2018
Re-shipping,"$112,039",Kansas,2018
Real Estate/Rental,"$158,580",Kansas,2018
Spoofing,"$60,049",Kansas,2018
Tech Support,$0,Kansas,2018
Social Media,"$123,749",Kansas,2018
Virtual Currency,"$7,000",Kansas,2018
Advanced Fee,"$189,595",Kentucky,2018
BEC/EAC,"$760,154",Kentucky,2018
Charity,$0,Kentucky,2018
Civil Matter,"$5,000",Kentucky,2018
Confidence Fraud/Romance,"$803,478",Kentucky,2018
Corporate Data Breach,$0,Kentucky,2018
Credit Card Fraud,"$579,601",Kentucky,2018
Crimes Against Children,$0,Kentucky,2018
Criminal Forums,$0,Kentucky,2018
Denial of Service/TDos,"$57,058",Kentucky,2018
Employment,"$3,350",Kentucky,2018
Extortion,"$1,347",Kentucky,2018
Gambling,"$1,200",Kentucky,2018
Government Impersonation,$0,Kentucky,2018
Hacktivist,"$18,620",Kentucky,2018
Harassment/Threats of Violence,$0,Kentucky,2018
Health Care Related,$94,Kentucky,2018
IPR/Copyright and Counterfeit,"$6,625",Kentucky,2018
Identity Theft,"$203,671",Kentucky,2018
Investment,"$152,994",Kentucky,2018
Lottery/Sweepstakes/Inheritance,$500,Kentucky,2018
Malware/Scareware/Virus,"$179,787",Kentucky,2018
Misrepresentation,$0,Kentucky,2018
No Lead Value,"$1,358,607",Kentucky,2018
Non-payment/Non-Delivery,"$22,801",Kentucky,2018
Other,"$71,554",Kentucky,2018
Overpayment,"$19,427",Kentucky,2018
Personal Data Breach,"$16,050",Kentucky,2018
Phishing/Vishing/Smishing/Pharming,$0,Kentucky,2018
Ransomware,$0,Kentucky,2018
Re-shipping,"$72,832",Kentucky,2018
Real Estate/Rental,"$63,557",Kentucky,2018
Spoofing,"$4,900",Kentucky,2018
Tech Support,$0,Kentucky,2018
Social Media,"$221,123",Kentucky,2018
Virtual Currency,"$17,482",Kentucky,2018
Advanced Fee,"$329,680",Louisiana,2018
BEC/EAC,"$373,220",Louisiana,2018
Charity,$0,Louisiana,2018
Civil Matter,"$2,825",Louisiana,2018
Confidence Fraud/Romance,"$891,293",Louisiana,2018
Corporate Data Breach,"$8,200",Louisiana,2018
Credit Card Fraud,"$408,367",Louisiana,2018
Crimes Against Children,$0,Louisiana,2018
Criminal Forums,$0,Louisiana,2018
Denial of Service/TDos,"$1,165,103",Louisiana,2018
Employment,"$247,842",Louisiana,2018
Extortion,$0,Louisiana,2018
Gambling,"$244,512",Louisiana,2018
Government Impersonation,$0,Louisiana,2018
Hacktivist,"$5,668",Louisiana,2018
Harassment/Threats of Violence,$0,Louisiana,2018
Health Care Related,$0,Louisiana,2018
IPR/Copyright and Counterfeit,"$581,367",Louisiana,2018
Identity Theft,"$1,354,448",Louisiana,2018
Investment,"$68,186",Louisiana,2018
Lottery/Sweepstakes/Inheritance,$0,Louisiana,2018
Malware/Scareware/Virus,"$44,414",Louisiana,2018
Misrepresentation,$0,Louisiana,2018
No Lead Value,"$787,078",Louisiana,2018
Non-payment/Non-Delivery,$300,Louisiana,2018
Other,"$90,993",Louisiana,2018
Overpayment,"$808,133",Louisiana,2018
Personal Data Breach,"$13,057",Louisiana,2018
Phishing/Vishing/Smishing/Pharming,$0,Louisiana,2018
Ransomware,$0,Louisiana,2018
Re-shipping,"$312,301",Louisiana,2018
Real Estate/Rental,"$124,626",Louisiana,2018
Spoofing,"$89,922",Louisiana,2018
Tech Support,$0,Louisiana,2018
Social Media,"$1,284,148",Louisiana,2018
Virtual Currency,"$762,873",Louisiana,2018
Advanced Fee,"$96,985",Maine,2018
BEC/EAC,"$50,687",Maine,2018
Charity,$0,Maine,2018
Civil Matter,$0,Maine,2018
Confidence Fraud/Romance,"$296,311",Maine,2018
Corporate Data Breach,$0,Maine,2018
Credit Card Fraud,"$7,788",Maine,2018
Crimes Against Children,$0,Maine,2018
Criminal Forums,$0,Maine,2018
Denial of Service/TDos,"$119,877",Maine,2018
Employment,"$1,200",Maine,2018
Extortion,"$4,071",Maine,2018
Gambling,"$1,035",Maine,2018
Government Impersonation,$0,Maine,2018
Hacktivist,$0,Maine,2018
Harassment/Threats of Violence,$0,Maine,2018
Health Care Related,$0,Maine,2018
IPR/Copyright and Counterfeit,"$16,562",Maine,2018
Identity Theft,"$1,000",Maine,2018
Investment,$200,Maine,2018
Lottery/Sweepstakes/Inheritance,$0,Maine,2018
Malware/Scareware/Virus,"$6,104",Maine,2018
Misrepresentation,$0,Maine,2018
No Lead Value,"$241,756",Maine,2018
Non-payment/Non-Delivery,$0,Maine,2018
Other,"$15,669",Maine,2018
Overpayment,"$17,152",Maine,2018
Personal Data Breach,$0,Maine,2018
Phishing/Vishing/Smishing/Pharming,$0,Maine,2018
Ransomware,$0,Maine,2018
Re-shipping,"$4,700",Maine,2018
Real Estate/Rental,"$28,736",Maine,2018
Spoofing,"$15,700",Maine,2018
Tech Support,$0,Maine,2018
Social Media,"$105,725",Maine,2018
Virtual Currency,"$25,000",Maine,2018
Advanced Fee,"$563,196",Maryland,2018
BEC/EAC,"$4,905,744",Maryland,2018
Charity,$0,Maryland,2018
Civil Matter,$495,Maryland,2018
Confidence Fraud/Romance,"$6,724,186",Maryland,2018
Corporate Data Breach,"$1,184,879",Maryland,2018
Credit Card Fraud,"$559,764",Maryland,2018
Crimes Against Children,$0,Maryland,2018
Criminal Forums,$0,Maryland,2018
Denial of Service/TDos,"$879,420",Maryland,2018
Employment,"$429,005",Maryland,2018
Extortion,$0,Maryland,2018
Gambling,"$181,957",Maryland,2018
Government Impersonation,"$20,000",Maryland,2018
Hacktivist,"$48,106",Maryland,2018
Harassment/Threats of Violence,"$1,455",Maryland,2018
Health Care Related,"$196,113",Maryland,2018
IPR/Copyright and Counterfeit,"$196,629",Maryland,2018
Identity Theft,"$69,835,829",Maryland,2018
Investment,"$324,863",Maryland,2018
Lottery/Sweepstakes/Inheritance,"$911,884",Maryland,2018
Malware/Scareware/Virus,"$515,374",Maryland,2018
Misrepresentation,$0,Maryland,2018
No Lead Value,"$1,715,359",Maryland,2018
Non-payment/Non-Delivery,"$30,516",Maryland,2018
Other,"$956,846",Maryland,2018
Overpayment,"$174,258",Maryland,2018
Personal Data Breach,"$160,450",Maryland,2018
