Crime Type,Loss Amount,State/Territory,Year
Lottery/Sweepstakes/Inheritance,"$160,071",Arizona,2017
Malware/Scareware/Virus,"$40,606",Arizona,2017
Misrepresentation,"$106,018",Arizona,2017
No Lead Value,$0,Arizona,2017
Non-payment/Non-Delivery,"$1,451,068",Arizona,2017
Other,"$12,828",Arizona,2017
Overpayment,"$186,712",Arizona,2017
Personal Data Breach,"$313,979",Arizona,2017
Phishing/Vishing/Smishing/Pharming,"$106,370",Arizona,2017
Ransomware,"$8,200",Arizona,2017
Re-shipping,"$30,157",Arizona,2017
Real Estate/Rental,"$231,835",Arizona,2017
Spoofing,$0,Arizona,2017
Tech Support,"$61,861",Arizona,2017
Terrorism,$0,Arizona,2017
Social Media,"$278,802",Arizona,2017
Virtual Currency,"$141,192",Arizona,2017
Advanced Fee,"$382,244",Arkansas,2017
BEC/EAC,"$87,860",Arkansas,2017
Charity,$0,Arkansas,2017
Civil Matter,$0,Arkansas,2017
Confidence Fraud/Romance,"$1,056,265",Arkansas,2017
Corporate Data Breach,"$30,522",Arkansas,2017
Credit Card Fraud,"$43,688",Arkansas,2017
Crimes Against Children,$0,Arkansas,2017
Criminal Forums,$0,Arkansas,2017
Denial of Service/TDos,$69,Arkansas,2017
Employment,"$60,292",Arkansas,2017
Extortion,"$32,350",Arkansas,2017
Gambling,$0,Arkansas,2017
Government Impersonation,"$6,309",Arkansas,2017
Hacktivist,$0,Arkansas,2017
Harassment/Threats of Violence,"$32,270",Arkansas,2017
Health Care Related,$0,Arkansas,2017
IPR/Copyright and Counterfeit,"$3,500",Arkansas,2017
Identity Theft,"$8,458",Arkansas,2017
Investment,"$30,500",Arkansas,2017
Lottery/Sweepstakes/Inheritance,"$230,592",Arkansas,2017
Malware/Scareware/Virus,$0,Arkansas,2017
Misrepresentation,"$6,241",Arkansas,2017
No Lead Value,$0,Arkansas,2017
Non-payment/Non-Delivery,"$387,071",Arkansas,2017
Other,"$1,850",Arkansas,2017
Overpayment,"$65,593",Arkansas,2017
Personal Data Breach,"$612,627",Arkansas,2017
Phishing/Vishing/Smishing/Pharming,"$27,641",Arkansas,2017
Ransomware,$0,Arkansas,2017
Re-shipping,$0,Arkansas,2017
Real Estate/Rental,"$15,369",Arkansas,2017
Spoofing,$0,Arkansas,2017
Tech Support,"$2,200",Arkansas,2017
Terrorism,$0,Arkansas,2017
Social Media,"$102,204",Arkansas,2017
Virtual Currency,"$28,119",Arkansas,2017
Advanced Fee,"$4,418,144",California,2017
BEC/EAC,"$15,991,994",California,2017
Charity,"$13,592",California,2017
Civil Matter,"$1,354,772",California,2017
Confidence Fraud/Romance,"$18,645,188",California,2017
Corporate Data Breach,"$1,828,376",California,2017
Credit Card Fraud,"$7,489,248",California,2017
Crimes Against Children,$250,California,2017
Criminal Forums,$0,California,2017
Denial of Service/TDos,"$8,593",California,2017
Employment,"$3,546,359",California,2017
Extortion,"$1,159,802",California,2017
Gambling,"$2,520",California,2017
Government Impersonation,"$997,544",California,2017
Hacktivist,$0,California,2017
Harassment/Threats of Violence,"$1,064,747",California,2017
Health Care Related,"$273,241",California,2017
IPR/Copyright and Counterfeit,"$887,091",California,2017
Identity Theft,"$9,086,325",California,2017
Investment,"$9,277,143",California,2017
Lottery/Sweepstakes/Inheritance,"$1,755,460",California,2017
Malware/Scareware/Virus,"$62,271",California,2017
Misrepresentation,"$1,826,077",California,2017
No Lead Value,$0,California,2017
Non-payment/Non-Delivery,"$15,422,359",California,2017
Other,"$1,634,576",California,2017
Overpayment,"$2,666,116",California,2017
Personal Data Breach,"$3,160,050",California,2017
Phishing/Vishing/Smishing/Pharming,"$1,789,122",California,2017
Ransomware,"$304,799",California,2017
Re-shipping,"$76,554",California,2017
Real Estate/Rental,"$5,935,941",California,2017
Spoofing,$0,California,2017
Tech Support,"$2,008,047",California,2017
Terrorism,$0,California,2017
Social Media,"$4,679,804",California,2017
Virtual Currency,"$2,610,575",California,2017
Advanced Fee,"$988,895",Colorado,2017
BEC/EAC,"$2,542,491",Colorado,2017
Charity,"$5,500",Colorado,2017
Civil Matter,"$3,841",Colorado,2017
Confidence Fraud/Romance,"$1,343,611",Colorado,2017
Corporate Data Breach,"$219,822",Colorado,2017
Credit Card Fraud,"$339,334",Colorado,2017
Crimes Against Children,$0,Colorado,2017
Criminal Forums,$0,Colorado,2017
Denial of Service/TDos,$118,Colorado,2017
Employment,"$394,924",Colorado,2017
Extortion,"$40,199",Colorado,2017
Gambling,$0,Colorado,2017
